,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14
Police,26.95,28.07,7.17,15.27,5.09,73.63,11.38,19.41,19.24, -   
Rural Development,497.24,839.58, -   , -   , -   , -   , -   , -   , -   , -   
"Welfare of SCs, STs, OBCs and Minorities",178.19,175.26,280.01,73.76,153.43,98.81,27.86,45.45,29.54,27.87
Social Welfare & Nutrition,10.73,9.35,42.61,0.55,3.11,19.79,2.47,22.5,0.07,12.15
Tourism,17.97,73.73,89.65,10.58,28.6,12.03,31.88,63.47,43.78,30.54
Others,591.52,319.37,228.16,114.9,133.55,161.99,69.62,138.94,73.48,63.02
Meghalaya (Total),"2,776.80","2,837.12","1,815.95",983.49,"1,506.77","1,005.49","1,320.63","1,269.24","1,174.60","1,117.80"
"Education, Sports, Art & Culture",173.48,37.99,4.67,0.3,2.66,1.86,10.79,4.9,4.31,25.26
Health & Family Welfare,32.17,80.99,47.21,49.38,42.52,34.21,82.73,92.09,87.86,96.02
Water Supply and Sanitation,355.13,542.77,442.64,187.02,222.26,283.97,185.43,142.66,190.62,135.89
Housing & Urban Development,294.56,516.49,38.51,54.66,63.81,28.45,120.62,46.99,64.29,130.16
Public Works,131.27,148.97,115.75,46.68,75.06,35.86,66.68,79.66,63.28,69.12
Irrigation and Flood Control,68.41,101.71,74.29,4.46,95.07,25.73,45.53,3.62,42.13,6.12
Energy ,575,50,57.17,24.63,35.95,32.95,8.42,45.91,39.02,26.1
Agriculture & Allied Activities,16.69,32.03,-20.04,27.24,34.86,5.24,9.45,6.96,10.36,16.34
Industries & Minerals,10.59,13.29,26.98,0.27,3.87,14.82,77.63,102.56,68.71,33.39
Transport,999.19,"1,223.28",946.45,518.47,807.05,449.24,566.92,659.64,499.87,499.54
Police,-   ,13.13,15.15,1.05,9.27,12.52,15.25,16.79,17.88,14.07
Rural Development,11,2.98,0.61,1.7,0.79,1.41,3.7,0.1,0.1,0.2
"Welfare of SCs, STs, OBCs and Minorities",-   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Social Welfare & Nutrition,17.08,15.19,6.62,1.72,28.75,12.09,59.79,3.04,16.26,3.78
Tourism,9.8,11.66,6.24,1.69,11.01,9.93,8.49, -   ,1.05,2.69
Others,82.43,46.64,53.7,64.22,73.84,57.21,59.2,64.32,68.86,59.12
Mizoram  (Total),"1,324.05","1,006.96","1,128.87","1,455.31","1,908.99","2,041.30",938.46,718.1,929.94,630.1
"Education, Sports, Art & Culture",24.56,28.32,39.9,27.31,70.67,55.28,20.59,29.31,21.7,29.62
Health & Family Welfare,133.88,80.67,24.75,31.29,91.28,85.02,28.39,11.19,17.8,14.53
Water Supply and Sanitation,103.98,173.86,247.47,151.34,150.64,76.34,62.68,41.74,60.22,35.06
Housing & Urban Development,25.53,52.03,100.3,321.27,408.72,371.3,172.46,96.37,169.31,106.53
Public Works,42.35,30.54,36.17,87.31,55.72,59.2,22.1,15.53,44.83,47.3
Irrigation and Flood Control,23.02,7.76,26.87,16.35,10.07,18.96,5.98,7.67,0.53,0.13
Energy ,45.74,64.31,53.7,128.82,109.5,212.75,43.23,67.35,141.69,65.2
Agriculture & Allied Activities,150.34,65.87,59.69,127.9,181.89,264.83,49.78,134.46,156.67,128.83
Industries & Minerals,2,2,0.06,0.31,0.54,1.4, -   , -   , -   , -   
Transport,323.04,353.05,376.5,391.38,628.98,629.6,373.92,200.61,183.71,95.27
Police,10.47,8.89, -   ,5.64,8.79,22.65,27.09,15.37,24.37,0.21
Rural Development,2.5,9.12,2.95,9.79,9.84,12.29,6.02,2.18,3,4.05
"Welfare of SCs, STs, OBCs and Minorities",3.12,104.92,104.14, -   ,1.32,1,0.4, -   , -   , -   
Social Welfare & Nutrition,11.44,14.87,43.36,58.28,37.66,23.37,28.77,33.34,44.97,25.46
Tourism,9.47,6.06,2.24,0.35,22.83,76.61,29.49,21.46,6.05,0.96
Others,412.61,4.69,10.77,97.97,120.54,130.7,67.56,41.52,55.09,76.95
Nagaland  (Total),"2,704.57","1,896.46","1,677.54","1,215.58","1,600.83","1,275.04","1,076.29","1,059.42","1,023.36","1,207.99"
"Education, Sports, Art & Culture",233.29,146.5,64.38,66.14,40.36,30.4,27.14,48.78,47.69,76.38
Health & Family Welfare,438.22,155.64,27.24,7.62,7.42,70.8,13.2,7.92,21.23,12.74
Water Supply and Sanitation,80.95,216,149.71,76.69,106.01,120.57,158.91,103.23,104.65,25.56
Housing & Urban Development,326.45,283.14,205.88,238.64,173.13,254.58,226.51,111.28,156.07,194.27
Public Works,320.66,217.36,183.91,104.21,123.73,122.88,113.69,86.82,130.07,125
Irrigation and Flood Control,12.91,47.09,54.09,30.67,35.55,17.46,39.62,98.18,14.77,0.4
Energy ,60.05,115.24,88.11,53.34,95.59,21.7,33.31,63.2,51.12,89.64
Agriculture & Allied Activities,91.83,37.13,31.36,33.8,22.14,29.57,14.89,18.19,20.02,90.72
Industries & Minerals,33.43,3.62,5.38,7.22,3.59,15.87,13.42,15.17,25.57,44.98
Transport,824.78,405.42,409.77,275.16,486.21,221.38,175.19,254.32,277.85,314.15
Police,125.25,75.03,218.89,60.64,294.76,143.22,17.88,17.45,30.88,56.19
Rural Development,16,1.6,0.89,1,0.96, -   , -   , -   , -   ,0.65
"Welfare of SCs, STs, OBCs and Minorities",4.24,76.88,38.72,41.87, -   , -   , -   , -   , -   , -   
Social Welfare & Nutrition,5.73,7.51,19.73,24.47, -   ,4.7,3.09,14.3,20.47,12.4
Tourism,0.79,2.19,5.52,2.29,0.19,3.03,3.18,2.81,19.16,9.54
Others,129.99,106.11,173.96,191.82,211.19,218.88,236.26,217.77,103.81,155.37
Odisha  (Total),"35,507.00","24,411.16","19,546.16","21,536.57","24,652.38","22,983.97","18,725.17","17,427.01","11,432.63","8,219.95"
"Education, Sports, Art & Culture","2,192.31",676.18,581.37,758.62,823.8,745.57,360.16,501.71,361.23,156.03
Health & Family Welfare,"2,148.69","1,689.71",630.92,504.09,619.57,774.06,667.94,525.99,413.78,144.35
Water Supply and Sanitation,"2,526.67","2,335.39","2,214.76","3,126.41","2,133.10","1,579.76",903.33,677.2,534.93,562.94
Housing & Urban Development,"1,063.28",712.65,514.79,465.77,493.86,426.36,468.03,325.12,303.86,211.95
Public Works,"1,938.35",867.78,864.28,805.22,724.59,461.67,369.69,420.08,383.51,466.84
Irrigation and Flood Control,"7,413.56","4,756.57","3,108.42","4,748.40","5,706.82","6,841.07","5,799.07","4,173.23","2,850.79","2,213.22"
Energy ,"3,772.73","3,554.61","1,820.88","2,385.79","1,886.00","2,274.80","2,219.82","1,517.39",726.92,"1,132.63"
Agriculture & Allied Activities,623.95,597.05,557.72,415.23,445.38,294.83,208.23,482.75,269.68,164.75
Industries & Minerals,331.92,51.42,31.61,1.73,-1.89,-2.01,-1.95,-0.95,-2.31,9.14
Transport,"10,848.09","6,655.24","6,671.00","6,465.83","8,961.95","7,148.19","6,767.42","7,554.50","4,558.29","2,203.07"
Police,-   , -   , -   , -   , -   , -   , -   , -   , -   ,0.06
Rural Development,-   ,-4.06,17.34,348.46,"1,250.00", -   , -   , -   , -   , -   
"Welfare of SCs, STs, OBCs and Minorities",414.39,431.57,268.79,153.3,373.47,527.36,461.83,559.73,436.02,420.26
Social Welfare & Nutrition,35.65,33.26,100.7,23.8,21.05,60.5,4.19,219.97,143.99,195.37
Tourism,275.45,348.6,240.5,113.5,104.5,87.3,76.94,101.72,101.32,53.76
Others,"1,921.96","1,705.19","1,923.08","1,220.42","1,110.18","1,764.51",420.47,368.57,350.62,285.58
Punjab  (Total),"8,048.88","9,585.79","5,338.11","18,611.61","3,773.29","3,112.13","45,710.42","9,028.01","3,388.71","2,365.74"
"Education, Sports, Art & Culture",183.23,195.74,200.49,226.78,178.72,69.67,220.04,243.05,153.72,356.72
Health & Family Welfare,654.6,82.86,93.8,128.47,100.47,1.39,22.45,2.09,0.07,82.67
Water Supply and Sanitation,599.81,660.96,584.59,275.41,257.88,541.62,486.16,331.41,295.96,204.21
Housing & Urban Development,"2,303.60","1,919.13","1,302.63",324.09,495.94,280.95,292.36,216.17,269.55,275.69
Public Works,39.83,79.14,96.51,81.9,67.19,72.66,66.3,107.33,136.96,133.48
Irrigation and Flood Control,"1,002.98",935.14,752.63,440.56,252.85,315.13,"1,263.91",751.52,659.09,360.5
Energy ,65.73,154.41,20.11,"15,628.26", -   ,2.25,"10,031.19","5,597.07", -   ,10
Agriculture & Allied Activities,"1,496.52","1,545.65",929.79,752.74,"1,407.17",830.64,"31,377.97",410.48,276.51,183.86
Industries & Minerals,60.01,16.83,12.62,1.11, -   , -   , -   ,15.98, -   , -   
Transport,681.65,"1,016.08",587.86,315.73,515.19,674.55,"1,351.96",891.42,967.23,393.48
Police,107.99,179.76,95.44,59.5,90.64,99.58,145.88,133.13,90.3,67.64
Rural Development,297.88,356,214.37,133.17,200.94,67.42,134.13,88.28,92.24,129.88
"Welfare of SCs, STs, OBCs and Minorities",193.55,35.77,54.52,6.88, -   ,5.15,46.55,17.06,54.3,7.42
Social Welfare & Nutrition,52.84,16.12,14.76, -   ,8.72, -   ,10.59,7.9,19.33,0.5
Tourism,0.77,36.7,130.33,57.75,62.04,50.14,47.85,50.09,30.18,14.48
Others,307.89,"2,355.50",247.66,179.26,135.54,100.98,213.08,165.03,343.27,145.21
Rajasthan  (Total),"19,973.06","24,772.84","15,761.50","16,973.23","20,751.29","21,957.30","29,945.17","58,587.51","16,803.47","14,475.87"
"Education, Sports, Art & Culture","1,446.63",630.8,"1,284.09",766.07,825.22,514.62,119.07,155.02,56.41,63.36
Health & Family Welfare,"2,300.49","1,961.64",631.85,482.23,499.17,657.54,514.3,575.57,489.32,340.79
Water Supply and Sanitation,"2,372.73","4,917.78","3,832.74","3,184.44","3,869.69","4,590.43","4,194.24","4,376.13","4,494.52","2,757.89"
Housing & Urban Development,"2,002.25","3,121.02","1,645.78",878.35,"1,499.03","1,058.50","1,058.30",663.92,793.31,"1,365.82"
Public Works,386.92,250.18,229.06,248.36,305.65,352.14,322.41,337.69,430.64,275.51
Irrigation and Flood Control,"3,428.52","3,577.78","2,586.17","2,289.66","2,411.52","2,188.38","1,959.45","1,307.76","1,270.60","1,076.51"
Energy ,"1,976.78","2,174.71",636.38,"4,206.86","4,145.94","4,257.79","16,596.21","45,581.51","4,485.61","3,953.01"
Agriculture & Allied Activities,763.75,745.89,480.71,286.06,994.26,"1,036.14",577.84,460.79,696.97,681.82
Industries & Minerals,11.19,4.65,50.15,28.33,22.38,13.41,9.52,93.87,-18.85,170.15
Transport,"2,620.53","5,054.29","3,076.24","3,246.10","4,261.58","4,676.97","2,570.87","3,235.22","2,811.33","2,514.98"
Police,140.8,227.51,163.95,208.87,274.11,159.67,96.79,102.79,103.81,94.08
Rural Development,"1,033.20","1,000.65",239.15,375.04,231.5,653,547.13,504.45,455.84,497.4
"Welfare of SCs, STs, OBCs and Minorities",558.58,187.48,253.24,222.63,282.72,279.23,303.28,271.68,196.53,225.62
Social Welfare & Nutrition,33.65,104.83,169.45,172.19,86.95,108.56,92.42,66.97,24.58,67.28
Tourism,76.77,124,34.47,10.61,36.45,30.92,27.46,62.2,26.36,49.72
Others,820.27,689.63,448.07,367.43,"1,005.12","1,380.00",955.88,791.94,486.49,341.93
Sikkim  (Total),"2,376.97","1,316.63","1,513.88",737.67,"1,337.88","1,523.73",737.29,661.01,"1,007.28",922.34
"Education, Sports, Art & Culture",214.67,156.76,150.9,41.54,72.03,101.58,47.9,20.58,43.24,59.8
Health & Family Welfare,36.87,40.75,179.4,39.07,90.67,224.03,72.89,66.18,61.33,93.47
Water Supply and Sanitation,120.41,111.23,109.13,82.58,87.88,110.45,70.97,56.29,84.91,39.24
Housing & Urban Development,674.42,54.36,51.68,91.58,97.15,86.92,43.89,45.17,86.94,71.9
Public Works,271.56,223.49,89.79,128.85,68.27,138.76,64.26,59.03,89.29,154.63
Irrigation and Flood Control,99.81,27.77,41.36,0.82,51.88,1.91,0.79,1.15,4.25,3.79
Energy ,225.46,102.64,161.9,20.41,63.58,76.29,57.84,37.5,32.42,66.25
Agriculture & Allied Activities,7.88,7.82,12.09,5.04,13.46,13.96,8.48,10.63,11.61,12.41
Industries & Minerals,69.49, -   ,0.47,7.47,0.67,2.1,1.89,0.62,7.06,4.11
Transport,333.78,343.01,534.83,240.3,628.57,625.56,256.64,210.21,240.48,295.33
Police,1.23,5,1.83, -   ,1.44,6.89,6.92,4.94,20.23,14.89
Rural Development,33.92,5.33,9.2,0.42,5.34,12.67,9.66,0.21,16.01,19.29
"Welfare of SCs, STs, OBCs and Minorities",8.35,9.35,6.2,5.22,10.3,13.56,6.64,3.67,1.4,1.86
Social Welfare & Nutrition,3.35,12.57,8.83,5.77,7.42,2,2.62,10.81,1.5,9.69
Tourism,210.91,170.32,97.01,29.81,54.59,64.79,40.18,88.34,266.56,63.08
Others,64.86,46.23,59.26,38.79,84.63,42.26,45.72,45.68,40.05,12.6
Tamil Nadu  (Total),"46,790.76","40,651.29","36,902.48","29,653.83","30,788.87","26,720.23","46,755.99","21,326.01","22,121.94","19,415.20"
"Education, Sports, Art & Culture",586.31,493.51,580.04,648.36,863.12,891.06,989.25,"1,201.32",598.25,364.75
Health & Family Welfare,"1,375.68","2,517.97","2,527.44",809.24,730.49,407.31,687.34,579.93,568.19,588.84
Water Supply and Sanitation,"2,478.15","3,009.41","2,626.91","1,417.78","1,773.19",890.28,"1,305.75","1,679.06","1,472.09","1,514.88"
Housing & Urban Development,"12,824.11","10,572.79","6,176.42","3,488.82","5,589.95","4,601.19","3,671.24","2,298.75","2,227.87","4,060.73"
Public Works,821.52,602.66,616.39,436.51,383.98,391.55,255.82,377.62,370.42,324.51
Irrigation and Flood Control,"3,806.27","2,517.16","4,423.04","2,670.45","1,737.58","1,205.47","1,063.11",743.74,"1,239.63",974.5
Energy ,437,"1,222.70",710.86,"2,011.97",669.35,"1,289.87","28,328.77","3,836.58","6,373.79","3,152.50"
Agriculture & Allied Activities,"2,051.80","1,070.32","1,342.48","1,493.15","1,313.61",917.5,"1,338.03","1,286.73","1,078.38",930.34
Industries & Minerals,861.59,233.4,338.05,274.06,"2,060.59",507.36,645.46,247.39,397.5,264.08
Transport,"17,226.76","15,256.96","14,109.25","11,552.38","11,010.60","12,748.94","6,172.81","6,330.62","5,124.83","4,387.45"
Police,73.17,7.29,253.33,403.92,410.42,291.42,404.31,546.68,643.26,222.48
Rural Development,"2,005.69","1,745.83","1,319.31","1,863.15","2,502.58","1,771.58","1,241.54","1,416.48","1,046.72","1,428.73"
"Welfare of SCs, STs, OBCs and Minorities",751.59,271.6,342.62,96.12,95.05,117.88,98.9,144.42,162.88,159.9
Social Welfare & Nutrition,184.99,128.03,67.94,69.15,-119.89,33.87,25.35,34.28,82.57,380.31
Tourism,53.25,29.99,131.02,54.71,13.12,30.04,24.92,22.74,12.78,19.36
Others,"1,252.88",971.67,"1,337.38","2,364.06","1,755.13",624.91,503.39,579.67,722.78,641.84
Telangana  (Total),"39,129.00","37,343.75","26,790.38","25,558.59","31,346.77","30,111.19","36,772.56","18,823.42","9,855.74", -   
"Education, Sports, Art & Culture",584.58,49.06,531.2,282.22,278.76,247.96,246.14,133.82,195.68, -   
Health & Family Welfare,"1,355.52",869.26,618.9,952,"1,084.52",538.65,878.24,103.68,94.47, -   
Water Supply and Sanitation,"3,665.16","7,743.12","4,634.35","4,380.01","6,678.46","3,918.65","3,406.90","3,691.92",520.55, -   
Housing & Urban Development,"3,025.83","1,832.48","1,015.54","1,099.36","1,170.77",787.79,"1,084.11","2,612.13",825.95, -   
Public Works,697.53,446.93,287.65,217.47,273.35,80.22,82.33,39.64,37.32, -   
Irrigation and Flood Control,"18,916.03","15,420.22","11,033.14","10,175.87","9,117.78","12,595.91","13,664.53","7,776.00","5,194.28", -   
Energy ,771.23,442.8,627.72,"2,344.83","2,649.67","3,015.06","10,672.83",797.65,347.77, -   
Agriculture & Allied Activities,"2,457.65","1,342.20","1,541.72","1,398.86","1,586.79",594.61,777.43,151.98,45.68, -   
Industries & Minerals,377.6,894.3,285.3,287.65,86.6,105.02,88.02,5.23,9.31, -   
Transport,"2,570.16","2,854.35","2,114.80","1,528.92","1,777.43","2,480.01","3,397.91","1,818.83","1,405.66", -   
Police,433.08,419.41,427.87,288.88,285.47,388.23,375.72,213.82,338.69, -   
Rural Development,"1,946.29","2,599.75","2,479.44","1,008.05","1,996.06",858.42,102.76,350,51.25, -   
"Welfare of SCs, STs, OBCs and Minorities",245.22,398.99,253.63,480.59,"3,017.66","2,707.95",318,346.47,417.72, -   
Social Welfare & Nutrition,56.6,8.8,6.98,4.54,6.54,39.95,32.36,36.8,24.75, -   
Tourism,-   , -   , -   , -   , -   ,5.61,1.6,7.23,4.88, -   
Others,"2,026.52","2,022.08",932.14,"1,109.34","1,336.91","1,747.15","1,643.68",738.22,341.78, -   
Tripura  (Total),"2,134.62","1,423.03",834.97,886.97,"1,481.99","1,784.06","3,320.85","3,209.87","2,848.02","1,656.51"
"Education, Sports, Art & Culture",73.77,45.53,18.99,19.24,17.02,168.74,148.13,115.61,137.81,143.8
Health & Family Welfare,79,88.21,25.08,51.4,131.29,145.62,157.98,131.91,117.81,119.52
Water Supply and Sanitation,127.59,239.76,292.74,157.15,242.04,153.82,211.49,178.19,198.73,273.1
Housing & Urban Development,260.52,76.9,0.92,97.44,381.3,429.2,677.51,241.12,278.78,58.99
Public Works,474.91,213.28,72.86,58.13,45.77,54.46,75.7,32.44,142.79,100.82
Irrigation and Flood Control,67.37,62.09,32.35,26.29,19.63,20.51,20.45,33.68,32.2,46.92
Energy ,176.38,108.83, -   ,27.51,42.72,6.15,26.34,76.96,45.7,62.96
Agriculture & Allied Activities,190.96,49.82,61.58,61.97,31.05,27.48,113.16,103.73,83.91,94.32
Industries & Minerals,19.36,5.52,9.26, -   ,34.31,42.93,42.43,35,34.4,37.9
Transport,362.4,374.59,221.28,157.29,265.02,353.74,856.94,605.23,567.15,364.45
Police,9.66,7.14,6.77,12.25,7.4,10.74,13.18,11.86,23.02,2.88
Rural Development,32.4,20.08,0.02,117.08,131.69,195.54,556.62,"1,429.10",768.77,17.63
"Welfare of SCs, STs, OBCs and Minorities",103.92,27.35,12.98,19.32,40.85,61.21,233.33,41.46,99.35,58.74
Social Welfare & Nutrition,31.16,8.74,3,1.28, -   ,0.03,0.17,0.25,11.38,6.79
Tourism,4,22.55,6.68, -   , -   , -   ,3.46,4.34,3.78,4.82
Others,121.22,72.64,70.46,80.62,91.9,113.89,183.96,168.99,302.44,262.87
Uttar Pradesh  (Total),"103,237.02","73,055.91","53,389.71","62,118.03","68,766.05","40,597.26","76,530.21","73,540.63","55,169.92","34,335.99"
"Education, Sports, Art & Culture","3,195.58","1,632.25","1,359.05","1,364.66",992.38,938.27,"2,018.30","1,130.44","1,385.18",739.05
Health & Family Welfare,"4,960.10","3,332.72","2,066.55","2,384.90","2,259.68","2,111.98","2,922.30","2,256.01","1,900.71","1,318.17"
Water Supply and Sanitation,"12,345.48","4,104.96","2,472.55","2,527.15","2,480.93","1,975.01","3,439.18","2,803.22","3,210.87","2,190.03"
Housing & Urban Development,"12,853.58","8,987.70","5,959.41","2,976.38","4,116.98","5,914.92","8,562.58","5,204.48","6,002.74","1,980.66"
Public Works,635.21,579.32,377.65,871.48,876.45,"1,010.31","1,113.54","1,285.20",972.32,794.88
Irrigation and Flood Control,"3,437.70","3,336.40","5,037.16","5,933.14","5,530.79","3,107.33","5,200.76","5,051.88","4,093.02","2,955.28"
Energy ,"10,239.58","10,884.50","10,562.05","8,248.83","14,027.32","8,312.88","15,435.41","24,892.22","10,959.96","6,650.17"
Agriculture & Allied Activities,"4,600.91","8,678.54","-2,033.51","5,470.59","2,977.53","1,819.24","4,736.15","3,171.78","1,482.36",528.98
Industries & Minerals,"10,659.52",880.47,719.98,"1,239.13","5,060.68",925.76,775.22,"1,308.18",870.5,636.84
Transport,"24,758.97","22,863.13","18,566.69","22,743.23","21,999.90","8,324.75","22,703.08","15,715.45","14,337.74","10,051.74"
Police,"3,138.21","1,599.85",903.29,960.5,640.58,605.99,"1,264.83","1,014.67",749.41,544.63
Rural Development,"7,211.41","3,751.67","5,163.71","3,706.35","3,406.72","2,313.12","2,249.22","4,756.88","4,442.94","1,600.07"
"Welfare of SCs, STs, OBCs and Minorities",693.52,194.89,298.05,167.83,132.95,279.51,85.31,120.15,64.38,40.56
Social Welfare & Nutrition,943.83,354.3,301.72,725.82,413.9,421.77,"1,110.41",662.89,602.12,951.49
Tourism,853.21,389.11,427.01,426.31,421.86,354,297.6,203.53,147.02,81.13
Others,"2,710.21","1,486.10","1,208.35","2,371.73","3,427.40","2,182.42","4,616.32","3,963.65","3,948.65","3,272.31"
Uttarakhand  (Total),"8,288.13","7,880.96","6,575.76","5,539.96","6,367.90","5,991.20","5,119.26","4,300.54","5,089.98","3,990.02"
"Education, Sports, Art & Culture",476.89,361.46,398.37,290.1,154.33,214.6,434.59,253.67,427.2,306.96
Health & Family Welfare,299.37,313.19,172.94,97.6,187.4,63.94,115.97,141.16,260.42,148.03
Water Supply and Sanitation,550.2,"1,059.87",648.18,638.64,486.35,488.77,212.78,45.42,96.36,96.67
Housing & Urban Development,578.27,459.68,617.04,485.68,196.48,266.49,149.7,380.5,287.88,186.17
Public Works,"1,554.94","1,050.30",733.66,339.32,439.35,790.07,69.8,103.62,165.28,88.84
Irrigation and Flood Control,374.59,268.89,268.21,345.73,356.92,314.95,465.45,706.88,764.11,460.08
Energy ,151.49,390.63,180.56,148.62,263.53,149.65,187.42,135.55,182.51,308.15
Agriculture & Allied Activities,470.08,554.03,129.71,740.18,"1,110.93",801.39,951.94,105.49,324.47,811.77
Industries & Minerals,120.39,13.96,10.11,26.71,26.42,6.49,138.64,60.52,12.98,9.36
Transport,"1,438.83","1,489.06","1,169.53",946.9,"1,379.10","1,533.95","1,389.58","1,401.26","1,569.81","1,061.80"
Police,36.06,34.6,21.24,22.63,14.59,14.34,2.38,7.39,48.38,49.01
Rural Development,"1,917.54","1,706.32","2,000.43","1,270.19","1,625.05","1,236.09",841.5,820.66,701.47,325.97
"Welfare of SCs, STs, OBCs and Minorities",57,60.02,94.8,28.25,31.32,24.65,8.25,25.84,63.69,78.43
Social Welfare & Nutrition,43.57,5.73,6.77,39.9,4.35,3.87,17.7,4.98,79.33,14.15
Tourism,192.88,111.22,123.91,88.91,57.98,58.08,118.26,93.93,88.31,32.41
Others,26.03,2,0.3,30.6,33.8,23.87,15.3,13.67,17.78,12.22
West Bengal  (Total),"22,573.26","18,586.17","15,310.48","17,236.82","24,582.81","19,337.52","12,533.63","13,280.99","10,383.39","7,590.25"
"Education, Sports, Art & Culture",369.15,234.03,224.03,430.48,997.5,454.22,388.19,609.89,571.6,616.69
Health & Family Welfare,"2,186.31","1,090.57",903.54,652.95,"1,237.51",931.75,"1,242.33","1,840.99","1,067.92",572.52
Water Supply and Sanitation,"2,398.54","3,643.29",656.27,"1,384.20","1,951.71","2,095.22",115.87,167.17,125.41,444.03
Housing & Urban Development,"4,389.59","2,267.99","1,770.17","2,168.32","2,385.20","3,484.99","2,206.68","1,606.62","1,693.42",759.23
Public Works,491.81,374.59,401.89,578.25,781.35,764.92,637.91,508.59,304.98,233.41
Irrigation and Flood Control,"2,281.66","2,030.69","1,666.22","1,717.52","1,798.34","1,562.17","1,614.52","1,600.80","1,374.00",721.88
Energy ,"1,345.54","1,816.07",605.65,"2,049.99","2,268.31",862.52,"1,101.28","2,126.17","1,205.99",942.71
Agriculture & Allied Activities,421.36,454.2,408.39,576.12,632.33,582.52,842.83,846.58,804.59,524.98
Industries & Minerals,"1,106.51",611.44,284.95,338.14,"1,411.47","1,074.53",340.8,213.73,315.89,304.77
Transport,"4,802.52","4,349.10","3,262.66","4,502.58","5,292.36","3,350.63","2,408.81","2,304.47","1,469.54","1,625.94"
Police,161.32,166.42,139.62,163.82,139.88,177.06,166.12,99.81,99.31,37.21
Rural Development,853.27,481.65,"1,914.92",356.25,"2,575.69","1,775.83",6.92,29.94,0.5,0.5
"Welfare of SCs, STs, OBCs and Minorities",504.3,195.58,795.29,335.93,73.17,31.67,32.82,23.79,18.95,82.27
Social Welfare & Nutrition,380.54,261.42,"1,574.37",870.08,987.9,699.53,452.41,359.06,626.33,201.4
Tourism,68.57,58.85,54.73,55.88,91.02,59.56,65.12,53.79,61.66,49.05
Others,812.27,550.28,647.78,"1,056.31","1,959.07","1,430.40",911.02,889.59,643.3,473.66
